Key,Server,Type,Device,Package Version,Hardware Specifications,Approx. Peak Device Utilization,Wall Time (Full Run),Wall Time (Prediction),Wall Time (10K SHAP),Potential Time Savings,RMSE,COD,MKI
ccao-lightgbm-3.3.5-cpu,CCAO,LightGBM,CPU,3.3.5,"Xeon Silver 4208 CPU @ 2.10GHz, 16 cores",100%,,,,,,,
ccao-lightgbm-4.1.0-cpu,CCAO,LightGBM,CPU,4.1.0,"Xeon Silver 4208 CPU @ 2.10GHz, 16 cores",100%,,,,,,,
ccao-xgboost-2.0.0.1-cpu,CCAO,XGBoost,CPU,2.0.0.1,"Xeon Silver 4208 CPU @ 2.10GHz, 16 cores",100%,,,,,,,
nvidia-lightgbm-3.3.5-cpu,NVIDIA,LightGBM,CPU,3.3.5,"Xeon Gold 6354 CPU @ 3.00GHz, 16 cores",100%,,,,,,,
nvidia-lightgbm-4.1.0.99-cpu,NVIDIA,LightGBM,CPU,4.1.0.99,"Xeon Gold 6354 CPU @ 3.00GHz, 16 cores",100%,,,,,,,
nvidia-lightgbm-4.1.0.99-gpu,NVIDIA,LightGBM,GPU,4.1.0.99,"NVIDIA A40, 48GB",10%,,,,,,,
nvidia-xgboost-2.0.0.1-cpu,NVIDIA,XGBoost,CPU,2.0.0.1,"Xeon Gold 6354 CPU @ 3.00GHz, 16 cores",100%,,,,,,,
nvidia-xgboost-2.0.0.1-gpu,NVIDIA,XGBoost,GPU,2.0.0.1,"NVIDIA A40, 48GB",92%,,,,,,,
g5.4xlarge-lightgbm-4.1.0.99-cpu,AWS,LightGBM,CPU,4.1.0.99,"AMD EPYC 7R32 @ 3.3 GHz, 16 cores",100%,,,,,,,
g5.4xlarge-lightgbm-4.1.0.99-gpu,AWS,LightGBM,GPU,4.1.0.99,"NVIDIA A10G, 24GB",8%,,,,,,,
g5.4xlarge-xgboost-2.0.0.1-cpu,AWS,XGBoost,CPU,2.0.0.1,"AMD EPYC 7R32 @ 3.3 GHz, 16 cores",100%,,,,,,,
g5.4xlarge-xgboost-2.0.0.1-gpu,AWS,XGBoost,GPU,2.0.0.1,"NVIDIA A10G, 24GB",95%,,,,,,,